Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,1,192,9,Some Random Commen with Id 0
1,1,1,132,7,Some Random Commen with Id 1
2,1,1,148,0,Some Random Commen with Id 2
3,2,0,125,8,Some Random Commen with Id 3
4,2,0,50,7,Some Random Commen with Id 4
5,2,0,95,5,Some Random Commen with Id 5
6,4,8,130,0,Some Random Commen with Id 6
7,4,8,124,0,Some Random Commen with Id 7
8,4,8,189,5,Some Random Commen with Id 8
9,4,8,28,8,Some Random Commen with Id 9
10,4,8,47,2,Some Random Commen with Id 10
11,4,8,34,9,Some Random Commen with Id 11
12,5,8,157,5,Some Random Commen with Id 12
13,5,8,3,4,Some Random Commen with Id 13
14,5,8,5,0,Some Random Commen with Id 14
15,5,8,167,4,Some Random Commen with Id 15
16,5,8,158,8,Some Random Commen with Id 16
17,5,8,124,0,Some Random Commen with Id 17
18,5,8,134,4,Some Random Commen with Id 18
19,5,8,158,3,Some Random Commen with Id 19
20,7,8,155,2,Some Random Commen with Id 20
21,7,8,19,8,Some Random Commen with Id 21
22,7,8,104,6,Some Random Commen with Id 22
23,7,8,104,0,Some Random Commen with Id 23
24,7,8,93,7,Some Random Commen with Id 24
25,7,8,15,9,Some Random Commen with Id 25
26,7,8,184,3,Some Random Commen with Id 26
27,7,8,136,5,Some Random Commen with Id 27
28,7,8,28,5,Some Random Commen with Id 28
29,8,1,167,1,Some Random Commen with Id 29
30,8,1,37,3,Some Random Commen with Id 30
31,8,1,189,2,Some Random Commen with Id 31
32,8,1,65,7,Some Random Commen with Id 32
33,8,1,137,1,Some Random Commen with Id 33
34,8,1,101,2,Some Random Commen with Id 34
35,9,2,173,1,Some Random Commen with Id 35
36,9,2,54,7,Some Random Commen with Id 36
37,10,6,185,3,Some Random Commen with Id 37
38,10,6,84,5,Some Random Commen with Id 38
39,10,6,150,2,Some Random Commen with Id 39
40,10,6,79,7,Some Random Commen with Id 40
41,10,6,95,0,Some Random Commen with Id 41
42,10,6,164,6,Some Random Commen with Id 42
43,10,6,35,4,Some Random Commen with Id 43
44,10,6,169,8,Some Random Commen with Id 44
45,10,6,24,6,Some Random Commen with Id 45
46,12,2,110,0,Some Random Commen with Id 46
47,12,2,58,9,Some Random Commen with Id 47
48,13,1,130,9,Some Random Commen with Id 48
49,13,1,41,2,Some Random Commen with Id 49
50,13,1,132,4,Some Random Commen with Id 50
51,13,1,35,5,Some Random Commen with Id 51
52,13,1,98,0,Some Random Commen with Id 52
53,13,1,163,1,Some Random Commen with Id 53
54,13,1,113,6,Some Random Commen with Id 54
55,13,1,36,9,Some Random Commen with Id 55
56,14,7,99,5,Some Random Commen with Id 56
57,14,7,27,3,Some Random Commen with Id 57
58,14,7,16,2,Some Random Commen with Id 58
59,14,7,11,5,Some Random Commen with Id 59
60,14,7,127,0,Some Random Commen with Id 60
61,14,7,80,8,Some Random Commen with Id 61
62,14,7,181,4,Some Random Commen with Id 62
63,15,3,24,4,Some Random Commen with Id 63
64,15,3,49,5,Some Random Commen with Id 64
65,15,3,120,9,Some Random Commen with Id 65
66,15,3,113,0,Some Random Commen with Id 66
67,16,0,189,7,Some Random Commen with Id 67
68,16,0,147,9,Some Random Commen with Id 68
69,16,0,94,3,Some Random Commen with Id 69
70,16,0,32,7,Some Random Commen with Id 70
71,16,0,26,4,Some Random Commen with Id 71
72,16,0,196,9,Some Random Commen with Id 72
73,16,0,121,6,Some Random Commen with Id 73
74,16,0,164,4,Some Random Commen with Id 74
75,17,0,36,4,Some Random Commen with Id 75
76,17,0,193,1,Some Random Commen with Id 76
77,17,0,28,7,Some Random Commen with Id 77
78,17,0,3,0,Some Random Commen with Id 78
79,17,0,157,6,Some Random Commen with Id 79
80,17,0,15,9,Some Random Commen with Id 80
81,17,0,30,7,Some Random Commen with Id 81
82,17,0,17,8,Some Random Commen with Id 82
83,18,1,157,3,Some Random Commen with Id 83
84,18,1,100,4,Some Random Commen with Id 84
85,18,1,129,0,Some Random Commen with Id 85
86,18,1,36,1,Some Random Commen with Id 86
87,18,1,95,1,Some Random Commen with Id 87
88,18,1,88,2,Some Random Commen with Id 88
89,18,1,1,2,Some Random Commen with Id 89
90,18,1,159,8,Some Random Commen with Id 90
91,18,1,181,0,Some Random Commen with Id 91
92,19,5,40,2,Some Random Commen with Id 92
93,20,8,71,0,Some Random Commen with Id 93
94,21,9,80,2,Some Random Commen with Id 94
95,21,9,58,6,Some Random Commen with Id 95
96,21,9,63,5,Some Random Commen with Id 96
97,21,9,91,6,Some Random Commen with Id 97
98,21,9,44,4,Some Random Commen with Id 98
99,21,9,11,6,Some Random Commen with Id 99
100,21,9,98,2,Some Random Commen with Id 100
101,21,9,128,2,Some Random Commen with Id 101
102,21,9,19,0,Some Random Commen with Id 102
103,22,5,150,7,Some Random Commen with Id 103
104,22,5,99,0,Some Random Commen with Id 104
105,22,5,11,6,Some Random Commen with Id 105
106,22,5,108,4,Some Random Commen with Id 106
107,22,5,37,0,Some Random Commen with Id 107
108,22,5,15,9,Some Random Commen with Id 108
109,22,5,30,6,Some Random Commen with Id 109
110,22,5,131,2,Some Random Commen with Id 110
111,22,5,17,7,Some Random Commen with Id 111
112,23,5,72,2,Some Random Commen with Id 112
113,23,5,53,8,Some Random Commen with Id 113
114,23,5,109,9,Some Random Commen with Id 114
115,23,5,104,4,Some Random Commen with Id 115
116,23,5,86,9,Some Random Commen with Id 116
117,23,5,122,0,Some Random Commen with Id 117
118,23,5,17,5,Some Random Commen with Id 118
119,23,5,21,9,Some Random Commen with Id 119
120,24,7,165,6,Some Random Commen with Id 120
121,24,7,94,5,Some Random Commen with Id 121
122,24,7,124,6,Some Random Commen with Id 122
123,24,7,31,7,Some Random Commen with Id 123
124,24,7,114,6,Some Random Commen with Id 124
125,24,7,6,0,Some Random Commen with Id 125
126,24,7,41,4,Some Random Commen with Id 126
127,24,7,31,7,Some Random Commen with Id 127
128,25,2,125,1,Some Random Commen with Id 128
129,25,2,60,2,Some Random Commen with Id 129
130,25,2,109,0,Some Random Commen with Id 130
131,25,2,2,5,Some Random Commen with Id 131
132,25,2,178,5,Some Random Commen with Id 132
133,25,2,21,5,Some Random Commen with Id 133
134,25,2,122,6,Some Random Commen with Id 134
135,25,2,144,0,Some Random Commen with Id 135
136,25,2,166,2,Some Random Commen with Id 136
137,26,9,87,8,Some Random Commen with Id 137
138,26,9,4,7,Some Random Commen with Id 138
139,26,9,139,7,Some Random Commen with Id 139
